scenario,platform,commit,runIndex,emitsPerSecond,gcAllocations,wallClockMs,gcAllocatedBytes
EmptyBus_Dispatch,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,48148405.325,-1,5000.166,-1
UntargetedFlood_OneHandler,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,33449316.296,-1,5000.102,-1
UntargetedFlood_TwoHandlers_OnePriority,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,31214426.169,-1,5000.252,-1
UntargetedFlood_ThreeHandlers_OnePriority,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,29229550.564,-1,5000.419,-1
UntargetedFlood_FourHandlers_OnePriority,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,27461954.962,-1,5000.008,-1
UntargetedFlood_FourHandlers_FourPriorities,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,26500971.232,-1,5000.194,-1
UntargetedFlood_SixteenHandlers_OnePriority,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,14983159.145,-1,5000.281,-1
UntargetedFlood_OneInactiveHandler,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,32867123.762,-1,5000.133,-1
TargetedFlood_NoMatchingTarget,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,13772327.213,-1,5000.607,-1
TargetedFlood_OneListener,Standalone IL2CPP x64 Release (WindowsPlayer; Unity 6000.3.16f1),1b85786254dc47e2dd28669d899678d149227a03,-1,11050792.811,-1,5000.546,-1
